lon,lat,p1,p2
127.625,-16.125,1,0
121.625,-19.125,1,0
141.375,-18.625,0,1
127.375,-15.625,1,0
130.125,-13.875,0,1
130.875,-15.625,1,0
140.125,-17.875,1,0
124.625,-17.125,1,0
139.375,-18.375,0,1
138.125,-17.875,0,1
132.125,-11.375,0,1
139.125,-17.625,1,0
122.625,-21.375,1,0
129.875,-14.125,1,0
141.875,-11.875,0,1
126.375,-21.125,1,0
130.625,-11.875,0,1
123.625,-20.375,1,0
131.125,-12.625,1,0
126.875,-14.125,0,1
137.875,-18.125,0,1
142.625,-15.125,0,1
125.875,-18.375,1,0
126.125,-17.625,1,0
129.875,-13.625,0,1
134.875,-15.875,1,0
131.375,-13.375,0,1
125.375,-14.375,1,0
131.375,-12.875,1,0
132.125,-17.875,0,1
127.625,-15.625,0,1
131.375,-11.625,0,1
126.375,-17.875,1,0
120.375,-20.375,0,1
138.125,-17.875,0,1
133.375,-14.875,0,1
131.625,-14.375,1,0
124.125,-17.375,1,0
135.125,-18.125,0,1
121.375,-21.375,1,0
124.625,-18.875,1,0
125.875,-21.375,1,0
126.375,-19.625,1,0
121.375,-20.375,0,1
135.375,-12.125,0,1
134.375,-17.125,0,1
120.125,-21.375,1,0
134.375,-18.125,1,0
135.125,-11.625,0,1
129.625,-14.125,1,0
